EndFiscalYear,UniqueIndividual_ID,Gender,Region_MostRecentPlacement,Age_Category,TotalAggregatedDays_Segregation
2023,2023-00001-SG,Male,Toronto,25 to 49,15
2023,2023-00002-SG,Male,Toronto,25 to 49,3
2023,2023-00003-SG,Male,Central,25 to 49,9
2023,2023-00004-SG,Male,Eastern,25 to 49,1
2023,2023-00005-SG,Male,Eastern,25 to 49,4
2023,2023-00006-SG,Female,Central,25 to 49,2
2023,2023-00007-SG,Male,Western,25 to 49,7
2023,2023-00008-SG,Male,Central,50+,2
2023,2023-00009-SG,Male,Central,25 to 49,1
2023,2023-00010-SG,Male,Central,50+,17
2023,2023-00011-SG,Male,Northern,50+,46
2023,2023-00012-SG,Male,Toronto,25 to 49,2
2023,2023-00013-SG,Male,Central,25 to 49,7
2023,2023-00014-SG,Male,Central,25 to 49,2
2023,2023-00015-SG,Male,Central,25 to 49,5
2023,2023-00016-SG,Male,Western,25 to 49,1
2023,2023-00017-SG,Male,Eastern,50+,7
2023,2023-00018-SG,Male,Central,25 to 49,2
2023,2023-00019-SG,Male,Western,25 to 49,3
2023,2023-00020-SG,Male,Eastern,25 to 49,1
2023,2023-00021-SG,Male,Western,25 to 49,3
2023,2023-00022-SG,Male,Eastern,25 to 49,2
2023,2023-00023-SG,Male,Central,25 to 49,14
2023,2023-00024-SG,Male,Western,50+,2
2023,2023-00025-SG,Male,Central,50+,3
2023,2023-00026-SG,Male,Western,25 to 49,4
2023,2023-00027-SG,Male,Northern,25 to 49,3
2023,2023-00028-SG,Male,Northern,50+,1
2023,2023-00029-SG,Male,Central,25 to 49,29
2023,2023-00030-SG,Female,Western,50+,2
2023,2023-00031-SG,Male,Central,25 to 49,3
2023,2023-00032-SG,Male,Central,25 to 49,5
2023,2023-00033-SG,Female,Central,25 to 49,5
2023,2023-00034-SG,Male,Western,25 to 49,11
2023,2023-00035-SG,Male,Eastern,50+,3
2023,2023-00036-SG,Male,Western,50+,7
2023,2023-00037-SG,Male,Northern,25 to 49,3
2023,2023-00038-SG,Male,Central,25 to 49,52
2023,2023-00039-SG,Male,Central,25 to 49,7
2023,2023-00040-SG,Male,Central,25 to 49,5
2023,2023-00041-SG,Male,Western,25 to 49,9
2023,2023-00042-SG,Male,Central,50+,7
2023,2023-00043-SG,Female,Western,25 to 49,3
2023,2023-00044-SG,Male,Central,25 to 49,35
2023,2023-00045-SG,Male,Central,25 to 49,1
2023,2023-00046-SG,Male,Central,25 to 49,1
2023,2023-00047-SG,Female,Central,50+,5
2023,2023-00048-SG,Male,Western,25 to 49,4
2023,2023-00049-SG,Male,Central,25 to 49,35
2023,2023-00050-SG,Male,Western,25 to 49,4
2023,2023-00051-SG,Female,Central,25 to 49,31
2023,2023-00052-SG,Male,Western,25 to 49,3
2023,2023-00053-SG,Male,Central,25 to 49,19
2023,2023-00054-SG,Male,Northern,25 to 49,3
2023,2023-00055-SG,Male,Central,25 to 49,1
2023,2023-00056-SG,Male,Central,25 to 49,1
2023,2023-00057-SG,Male,Western,25 to 49,2
2023,2023-00058-SG,Male,Central,25 to 49,21
2023,2023-00059-SG,Male,Central,25 to 49,3
2023,2023-00060-SG,Male,Western,25 to 49,1
2023,2023-00061-SG,Male,Central,25 to 49,1
2023,2023-00062-SG,Male,Western,25 to 49,5
2023,2023-00063-SG,Male,Central,50+,9
2023,2023-00064-SG,Female,Central,50+,36
2023,2023-00065-SG,Female,Central,25 to 49,10
2023,2023-00066-SG,Male,Central,25 to 49,1
2023,2023-00067-SG,Male,Eastern,25 to 49,14
2023,2023-00068-SG,Male,Northern,25 to 49,2
2023,2023-00069-SG,Female,Western,25 to 49,5
2023,2023-00070-SG,Male,Central,25 to 49,2
2023,2023-00071-SG,Male,Central,25 to 49,8
2023,2023-00072-SG,Male,Western,25 to 49,3
2023,2023-00073-SG,Male,Central,25 to 49,6
2023,2023-00074-SG,Male,Central,50+,5
2023,2023-00075-SG,Male,Central,25 to 49,5
2023,2023-00076-SG,Male,Western,50+,4
2023,2023-00077-SG,Male,Northern,50+,1
2023,2023-00078-SG,Male,Central,50+,1
2023,2023-00079-SG,Male,Toronto,25 to 49,3
2023,2023-00080-SG,Male,Central,25 to 49,2
2023,2023-00081-SG,Male,Northern,25 to 49,4
2023,2023-00082-SG,Male,Toronto,25 to 49,5
2023,2023-00083-SG,Male,Eastern,25 to 49,3
2023,2023-00084-SG,Male,Central,25 to 49,4
2023,2023-00085-SG,Male,Eastern,25 to 49,3
2023,2023-00086-SG,Male,Western,25 to 49,4
2023,2023-00087-SG,Male,Central,50+,1
2023,2023-00088-SG,Male,Central,50+,3
2023,2023-00089-SG,Male,Western,50+,20
2023,2023-00090-SG,Male,Toronto,25 to 49,9
2023,2023-00091-SG,Male,Western,25 to 49,3
2023,2023-00092-SG,Male,Eastern,25 to 49,4
2023,2023-00093-SG,Male,Western,25 to 49,3
2023,2023-00094-SG,Male,Eastern,25 to 49,4
2023,2023-00095-SG,Male,Central,25 to 49,6
2023,2023-00096-SG,Female,Western,25 to 49,6
2023,2023-00097-SG,Male,Northern,25 to 49,1
2023,2023-00098-SG,Female,Central,25 to 49,7
2023,2023-00099-SG,Male,Western,25 to 49,18
2023,2023-00100-SG,Male,Central,50+,65
2023,2023-00101-SG,Male,Eastern,25 to 49,1
2023,2023-00102-SG,Male,Central,25 to 49,5
2023,2023-00103-SG,Male,Central,25 to 49,4
2023,2023-00104-SG,Female,Central,25 to 49,21
2023,2023-00105-SG,Male,Eastern,25 to 49,1
2023,2023-00106-SG,Female,Eastern,25 to 49,1
2023,2023-00107-SG,Male,Central,50+,2
2023,2023-00108-SG,Female,Central,25 to 49,9
2023,2023-00109-SG,Male,Eastern,25 to 49,1
2023,2023-00110-SG,Male,Western,25 to 49,3
2023,2023-00111-SG,Male,Toronto,25 to 49,5
2023,2023-00112-SG,Male,Eastern,25 to 49,3
2023,2023-00113-SG,Male,Toronto,25 to 49,18
2023,2023-00114-SG,Male,Eastern,25 to 49,4
2023,2023-00115-SG,Male,Central,25 to 49,8
2023,2023-00116-SG,Male,Eastern,25 to 49,2
2023,2023-00117-SG,Male,Central,25 to 49,4
2023,2023-00118-SG,Female,Eastern,25 to 49,5
2023,2023-00119-SG,Male,Eastern,25 to 49,2
2023,2023-00120-SG,Male,Northern,50+,5
2023,2023-00121-SG,Male,Eastern,25 to 49,6
2023,2023-00122-SG,Male,Central,50+,9
2023,2023-00123-SG,Male,Central,50+,5
2023,2023-00124-SG,Male,Central,50+,13
2023,2023-00125-SG,Male,Western,25 to 49,14
2023,2023-00126-SG,Male,Western,25 to 49,4
2023,2023-00127-SG,Male,Central,50+,4
2023,2023-00128-SG,Male,Western,25 to 49,8
2023,2023-00129-SG,Female,Central,50+,6
2023,2023-00130-SG,Male,Northern,50+,17
2023,2023-00131-SG,Male,Central,25 to 49,1
2023,2023-00132-SG,Male,Central,25 to 49,13
2023,2023-00133-SG,Male,Eastern,50+,8
2023,2023-00134-SG,Male,Western,25 to 49,4
2023,2023-00135-SG,Male,Central,25 to 49,7
2023,2023-00136-SG,Male,Toronto,25 to 49,25
2023,2023-00137-SG,Male,Western,50+,4
2023,2023-00138-SG,Male,Central,50+,3
2023,2023-00139-SG,Male,Toronto,25 to 49,1
2023,2023-00140-SG,Male,Eastern,50+,2
2023,2023-00141-SG,Male,Western,25 to 49,9
2023,2023-00142-SG,Male,Western,25 to 49,9
2023,2023-00143-SG,Male,Eastern,50+,1
2023,2023-00144-SG,Male,Central,25 to 49,25
2023,2023-00145-SG,Male,Central,25 to 49,3
2023,2023-00146-SG,Male,Western,25 to 49,6
2023,2023-00147-SG,Male,Central,25 to 49,31
2023,2023-00148-SG,Male,Central,25 to 49,6
2023,2023-00149-SG,Female,Eastern,50+,10
2023,2023-00150-SG,Male,Northern,25 to 49,45
2023,2023-00151-SG,Male,Central,25 to 49,3
2023,2023-00152-SG,Male,Western,25 to 49,27
2023,2023-00153-SG,Male,Central,25 to 49,1
2023,2023-00154-SG,Male,Western,25 to 49,4
2023,2023-00155-SG,Male,Central,25 to 49,1
2023,2023-00156-SG,Male,Northern,50+,3
2023,2023-00157-SG,Male,Western,50+,5
2023,2023-00158-SG,Male,Western,25 to 49,5
2023,2023-00159-SG,Male,Central,50+,1
2023,2023-00160-SG,Male,Western,25 to 49,5
2023,2023-00161-SG,Male,Northern,50+,2
2023,2023-00162-SG,Female,Central,25 to 49,8
2023,2023-00163-SG,Male,Eastern,25 to 49,20
2023,2023-00164-SG,Male,Central,50+,5
2023,2023-00165-SG,Female,Central,50+,4
2023,2023-00166-SG,Female,Central,25 to 49,8
2023,2023-00167-SG,Male,Toronto,50+,2
2023,2023-00168-SG,Male,Toronto,50+,6
2023,2023-00169-SG,Male,Central,25 to 49,2
2023,2023-00170-SG,Male,Central,25 to 49,1
2023,2023-00171-SG,Female,Central,50+,20
2023,2023-00172-SG,Male,Northern,25 to 49,2
2023,2023-00173-SG,Male,Central,25 to 49,3
2023,2023-00174-SG,Male,Central,50+,19
2023,2023-00175-SG,Male,Western,25 to 49,39
2023,2023-00176-SG,Male,Central,25 to 49,3
2023,2023-00177-SG,Male,Central,50+,16
2023,2023-00178-SG,Male,Eastern,25 to 49,4
2023,2023-00179-SG,Male,Central,25 to 49,28
2023,2023-00180-SG,Male,Central,25 to 49,1
2023,2023-00181-SG,Male,Central,50+,7
2023,2023-00182-SG,Male,Western,25 to 49,1
2023,2023-00183-SG,Male,Toronto,25 to 49,5
2023,2023-00184-SG,Male,Western,25 to 49,9
2023,2023-00185-SG,Male,Central,25 to 49,6
2023,2023-00186-SG,Male,Central,25 to 49,1
2023,2023-00187-SG,Male,Western,50+,3
2023,2023-00188-SG,Male,Central,25 to 49,11
2023,2023-00189-SG,Male,Central,25 to 49,4
2023,2023-00190-SG,Male,Toronto,25 to 49,7
2023,2023-00191-SG,Male,Central,50+,3
2023,2023-00192-SG,Male,Eastern,25 to 49,28
2023,2023-00193-SG,Female,Central,25 to 49,3
2023,2023-00194-SG,Male,Central,25 to 49,4
2023,2023-00195-SG,Male,Western,50+,4
2023,2023-00196-SG,Male,Central,25 to 49,3
2023,2023-00197-SG,Female,Northern,25 to 49,3
2023,2023-00198-SG,Male,Western,25 to 49,3
2023,2023-00199-SG,Male,Western,25 to 49,4
2023,2023-00200-SG,Male,Western,25 to 49,5
2023,2023-00201-SG,Male,Toronto,25 to 49,1
2023,2023-00202-SG,Male,Central,50+,9
2023,2023-00203-SG,Male,Eastern,50+,1
2023,2023-00204-SG,Male,Northern,25 to 49,3
2023,2023-00205-SG,Male,Central,25 to 49,8
2023,2023-00206-SG,Male,Central,25 to 49,6
2023,2023-00207-SG,Male,Eastern,25 to 49,3
2023,2023-00208-SG,Male,Central,25 to 49,5
2023,2023-00209-SG,Male,Toronto,25 to 49,3
2023,2023-00210-SG,Male,Central,50+,4
2023,2023-00211-SG,Male,Western,25 to 49,15
2023,2023-00212-SG,Male,Central,50+,5
2023,2023-00213-SG,Male,Eastern,25 to 49,1
2023,2023-00214-SG,Male,Central,25 to 49,4
2023,2023-00215-SG,Male,Central,50+,10
2023,2023-00216-SG,Male,Western,50+,4
2023,2023-00217-SG,Male,Eastern,25 to 49,5
2023,2023-00218-SG,Male,Eastern,50+,1
2023,2023-00219-SG,Male,Western,25 to 49,5
2023,2023-00220-SG,Male,Toronto,25 to 49,2
2023,2023-00221-SG,Male,Northern,50+,1
2023,2023-00222-SG,Male,Western,25 to 49,4
2023,2023-00223-SG,Male,Central,50+,1
2023,2023-00224-SG,Male,Toronto,25 to 49,4
2023,2023-00225-SG,Male,Western,25 to 49,27
2023,2023-00226-SG,Female,Eastern,25 to 49,12
2023,2023-00227-SG,Male,Toronto,50+,3
2023,2023-00228-SG,Male,Central,50+,1
2023,2023-00229-SG,Female,Central,25 to 49,8
2023,2023-00230-SG,Female,Central,50+,8
2023,2023-00231-SG,Male,Central,25 to 49,1
2023,2023-00232-SG,Male,Central,50+,5
2023,2023-00233-SG,Male,Central,25 to 49,13
2023,2023-00234-SG,Female,Central,25 to 49,3
2023,2023-00235-SG,Male,Central,25 to 49,8
2023,2023-00236-SG,Male,Western,50+,5
2023,2023-00237-SG,Male,Northern,25 to 49,2
2023,2023-00238-SG,Male,Central,25 to 49,1
2023,2023-00239-SG,Male,Central,50+,2
2023,2023-00240-SG,Male,Central,50+,8
2023,2023-00241-SG,Male,Northern,25 to 49,4
2023,2023-00242-SG,Male,Northern,50+,1
2023,2023-00243-SG,Male,Western,50+,6
2023,2023-00244-SG,Female,Central,50+,1
2023,2023-00245-SG,Male,Eastern,25 to 49,3
2023,2023-00246-SG,Male,Western,25 to 49,1
2023,2023-00247-SG,Male,Eastern,50+,3
2023,2023-00248-SG,Male,Western,25 to 49,1
2023,2023-00249-SG,Male,Eastern,25 to 49,2
2023,2023-00250-SG,Male,Western,25 to 49,13
2023,2023-00251-SG,Male,Central,50+,2
2023,2023-00252-SG,Male,Eastern,25 to 49,10
2023,2023-00253-SG,Male,Western,50+,3
2023,2023-00254-SG,Male,Toronto,25 to 49,1
2023,2023-00255-SG,Male,Central,25 to 49,68
2023,2023-00256-SG,Female,Central,25 to 49,9
2023,2023-00257-SG,Male,Northern,50+,4
2023,2023-00258-SG,Male,Western,25 to 49,1
2023,2023-00259-SG,Male,Central,50+,1
2023,2023-00260-SG,Male,Toronto,25 to 49,5
2023,2023-00261-SG,Male,Western,50+,3
2023,2023-00262-SG,Male,Central,50+,3
2023,2023-00263-SG,Male,Eastern,25 to 49,2
2023,2023-00264-SG,Male,Western,25 to 49,5
2023,2023-00265-SG,Male,Western,25 to 49,13
2023,2023-00266-SG,Male,Central,50+,3
2023,2023-00267-SG,Male,Western,50+,6
2023,2023-00268-SG,Male,Central,25 to 49,19
2023,2023-00269-SG,Male,Central,50+,6
2023,2023-00270-SG,Male,Eastern,50+,23
2023,2023-00271-SG,Female,Eastern,25 to 49,4
2023,2023-00272-SG,Male,Western,50+,5
2023,2023-00273-SG,Female,Central,25 to 49,5
2023,2023-00274-SG,Male,Central,25 to 49,9
2023,2023-00275-SG,Male,Western,25 to 49,2
2023,2023-00276-SG,Male,Northern,25 to 49,5
2023,2023-00277-SG,Male,Eastern,25 to 49,1
2023,2023-00278-SG,Male,Western,25 to 49,5
2023,2023-00279-SG,Female,Western,50+,3
2023,2023-00280-SG,Female,Central,25 to 49,51
2023,2023-00281-SG,Male,Western,25 to 49,8
2023,2023-00282-SG,Male,Western,25 to 49,149
2023,2023-00283-SG,Male,Central,50+,4
2023,2023-00284-SG,Male,Central,25 to 49,2
2023,2023-00285-SG,Male,Central,25 to 49,1
2023,2023-00286-SG,Male,Western,25 to 49,7
2023,2023-00287-SG,Male,Toronto,50+,3
2023,2023-00288-SG,Male,Western,25 to 49,10
2023,2023-00289-SG,Male,Western,25 to 49,10
2023,2023-00290-SG,Male,Eastern,25 to 49,3
2023,2023-00291-SG,Male,Central,25 to 49,7
2023,2023-00292-SG,Male,Eastern,25 to 49,1
2023,2023-00293-SG,Male,Central,25 to 49,3
2023,2023-00294-SG,Female,Central,25 to 49,6
2023,2023-00295-SG,Male,Western,25 to 49,6
2023,2023-00296-SG,Male,Central,25 to 49,7
2023,2023-00297-SG,Male,Central,25 to 49,7
2023,2023-00298-SG,Male,Central,25 to 49,2
2023,2023-00299-SG,Male,Toronto,50+,10
2023,2023-00300-SG,Male,Eastern,25 to 49,6
2023,2023-00301-SG,Male,Toronto,25 to 49,6
2023,2023-00302-SG,Male,Western,25 to 49,9
2023,2023-00303-SG,Female,Western,50+,6
2023,2023-00304-SG,Female,Central,50+,29
2023,2023-00305-SG,Male,Central,25 to 49,7
2023,2023-00306-SG,Male,Central,50+,5
2023,2023-00307-SG,Male,Eastern,25 to 49,5
2023,2023-00308-SG,Male,Central,25 to 49,6
2023,2023-00309-SG,Female,Western,25 to 49,4
2023,2023-00310-SG,Male,Northern,50+,1
2023,2023-00311-SG,Male,Western,25 to 49,3
2023,2023-00312-SG,Male,Western,25 to 49,4
2023,2023-00313-SG,Male,Central,50+,3
2023,2023-00314-SG,Male,Toronto,25 to 49,9
2023,2023-00315-SG,Male,Eastern,25 to 49,4
2023,2023-00316-SG,Male,Central,25 to 49,4
2023,2023-00317-SG,Male,Central,50+,4
2023,2023-00318-SG,Male,Central,50+,1
2023,2023-00319-SG,Male,Western,25 to 49,2
2023,2023-00320-SG,Male,Western,25 to 49,3
2023,2023-00321-SG,Male,Western,25 to 49,6
2023,2023-00322-SG,Male,Western,25 to 49,1
2023,2023-00323-SG,Male,Western,25 to 49,3
2023,2023-00324-SG,Male,Western,25 to 49,25
2023,2023-00325-SG,Male,Eastern,25 to 49,9
2023,2023-00326-SG,Female,Central,25 to 49,30
2023,2023-00327-SG,Male,Northern,25 to 49,7
2023,2023-00328-SG,Male,Northern,25 to 49,7
2023,2023-00329-SG,Male,Central,50+,9
2023,2023-00330-SG,Male,Toronto,25 to 49,3
2023,2023-00331-SG,Male,Western,25 to 49,4
2023,2023-00332-SG,Male,Northern,50+,7
2023,2023-00333-SG,Female,Central,25 to 49,2
2023,2023-00334-SG,Male,Central,25 to 49,1
2023,2023-00335-SG,Male,Western,25 to 49,4
2023,2023-00336-SG,Male,Central,50+,3
2023,2023-00337-SG,Female,Central,25 to 49,2
2023,2023-00338-SG,Male,Central,25 to 49,1
2023,2023-00339-SG,Male,Western,25 to 49,9
2023,2023-00340-SG,Male,Eastern,25 to 49,2
2023,2023-00341-SG,Female,Central,25 to 49,1
2023,2023-00342-SG,Male,Central,50+,3
2023,2023-00343-SG,Male,Central,50+,1
2023,2023-00344-SG,Male,Central,25 to 49,2
2023,2023-00345-SG,Male,Central,25 to 49,1
2023,2023-00346-SG,Male,Central,25 to 49,4
2023,2023-00347-SG,Male,Northern,50+,7
2023,2023-00348-SG,Female,Central,25 to 49,1
2023,2023-00349-SG,Male,Central,25 to 49,3
2023,2023-00350-SG,Male,Central,25 to 49,7
2023,2023-00351-SG,Male,Western,50+,6
2023,2023-00352-SG,Male,Western,50+,5
2023,2023-00353-SG,Male,Central,25 to 49,3
2023,2023-00354-SG,Male,Central,50+,1
2023,2023-00355-SG,Male,Western,50+,2
2023,2023-00356-SG,Male,Northern,25 to 49,19
2023,2023-00357-SG,Male,Western,25 to 49,2
2023,2023-00358-SG,Male,Toronto,50+,2
2023,2023-00359-SG,Male,Western,25 to 49,2
2023,2023-00360-SG,Male,Western,25 to 49,27
2023,2023-00361-SG,Male,Toronto,25 to 49,19
2023,2023-00362-SG,Male,Central,25 to 49,2
2023,2023-00363-SG,Male,Eastern,25 to 49,4
2023,2023-00364-SG,Male,Western,25 to 49,1
2023,2023-00365-SG,Male,Northern,50+,4
2023,2023-00366-SG,Male,Eastern,25 to 49,3
2023,2023-00367-SG,Male,Central,25 to 49,8
2023,2023-00368-SG,Male,Toronto,25 to 49,3
2023,2023-00369-SG,Male,Toronto,50+,1
2023,2023-00370-SG,Male,Central,25 to 49,2
2023,2023-00371-SG,Male,Western,50+,2
2023,2023-00372-SG,Male,Eastern,25 to 49,10
2023,2023-00373-SG,Male,Toronto,50+,6
2023,2023-00374-SG,Male,Central,25 to 49,25
2023,2023-00375-SG,Male,Central,25 to 49,3
2023,2023-00376-SG,Male,Central,50+,1
2023,2023-00377-SG,Male,Eastern,25 to 49,4
2023,2023-00378-SG,Male,Western,50+,3
2023,2023-00379-SG,Male,Eastern,25 to 49,6
2023,2023-00380-SG,Male,Northern,25 to 49,2
2023,2023-00381-SG,Male,Central,25 to 49,69
2023,2023-00382-SG,Male,Central,50+,6
2023,2023-00383-SG,Male,Western,25 to 49,4
2023,2023-00384-SG,Male,Toronto,50+,2
2023,2023-00385-SG,Male,Toronto,25 to 49,3
2023,2023-00386-SG,Male,Western,25 to 49,4
2023,2023-00387-SG,Male,Central,50+,6
2023,2023-00388-SG,Male,Western,25 to 49,3
2023,2023-00389-SG,Male,Central,25 to 49,2
2023,2023-00390-SG,Female,Central,25 to 49,9
2023,2023-00391-SG,Male,Eastern,25 to 49,3
2023,2023-00392-SG,Male,Central,25 to 49,119
2023,2023-00393-SG,Female,Central,50+,166
2023,2023-00394-SG,Male,Toronto,25 to 49,5
2023,2023-00395-SG,Male,Northern,50+,1
2023,2023-00396-SG,Male,Western,25 to 49,4
2023,2023-00397-SG,Male,Central,25 to 49,1
2023,2023-00398-SG,Male,Western,25 to 49,4
2023,2023-00399-SG,Male,Central,50+,1
2023,2023-00400-SG,Male,Toronto,50+,1
2023,2023-00401-SG,Male,Western,25 to 49,3
2023,2023-00402-SG,Male,Central,50+,9
2023,2023-00403-SG,Male,Central,50+,1
2023,2023-00404-SG,Female,Central,50+,5
2023,2023-00405-SG,Male,Western,25 to 49,2
2023,2023-00406-SG,Female,Central,25 to 49,4
2023,2023-00407-SG,Male,Central,25 to 49,4
2023,2023-00408-SG,Female,Central,25 to 49,1
2023,2023-00409-SG,Male,Central,25 to 49,6
2023,2023-00410-SG,Male,Western,25 to 49,14
2023,2023-00411-SG,Male,Central,50+,2
2023,2023-00412-SG,Male,Toronto,25 to 49,7
2023,2023-00413-SG,Female,Central,25 to 49,3
2023,2023-00414-SG,Male,Western,25 to 49,20
2023,2023-00415-SG,Male,Eastern,25 to 49,1
2023,2023-00416-SG,Male,Eastern,50+,7
2023,2023-00417-SG,Male,Western,25 to 49,4
2023,2023-00418-SG,Male,Central,25 to 49,1
2023,2023-00419-SG,Male,Northern,25 to 49,1
2023,2023-00420-SG,Male,Western,25 to 49,29
2023,2023-00421-SG,Male,Western,25 to 49,4
2023,2023-00422-SG,Male,Western,50+,2
2023,2023-00423-SG,Male,Central,25 to 49,4
2023,2023-00424-SG,Male,Western,50+,3
2023,2023-00425-SG,Male,Central,50+,7
2023,2023-00426-SG,Male,Western,25 to 49,4
2023,2023-00427-SG,Male,Northern,25 to 49,2
2023,2023-00428-SG,Male,Central,25 to 49,3
2023,2023-00429-SG,Male,Toronto,25 to 49,1
2023,2023-00430-SG,Male,Western,50+,5
2023,2023-00431-SG,Male,Central,50+,2
2023,2023-00432-SG,Male,Central,50+,6
2023,2023-00433-SG,Male,Central,25 to 49,1
2023,2023-00434-SG,Male,Western,50+,4
2023,2023-00435-SG,Male,Eastern,50+,1
2023,2023-00436-SG,Male,Eastern,50+,1
2023,2023-00437-SG,Male,Central,25 to 49,5
2023,2023-00438-SG,Male,Northern,25 to 49,1
2023,2023-00439-SG,Male,Central,50+,5
2023,2023-00440-SG,Male,Western,50+,4
2023,2023-00441-SG,Male,Central,25 to 49,4
2023,2023-00442-SG,Male,Central,25 to 49,13
2023,2023-00443-SG,Male,Central,25 to 49,12
2023,2023-00444-SG,Male,Central,50+,13
2023,2023-00445-SG,Male,Western,25 to 49,8
2023,2023-00446-SG,Male,Western,25 to 49,4
2023,2023-00447-SG,Male,Western,25 to 49,22
2023,2023-00448-SG,Male,Central,25 to 49,75
2023,2023-00449-SG,Male,Northern,25 to 49,1
2023,2023-00450-SG,Male,Central,25 to 49,1
2023,2023-00451-SG,Male,Eastern,25 to 49,1
2023,2023-00452-SG,Male,Western,50+,9
2023,2023-00453-SG,Female,Central,50+,9
2023,2023-00454-SG,Male,Central,25 to 49,1
2023,2023-00455-SG,Female,Northern,25 to 49,1
2023,2023-00456-SG,Male,Northern,25 to 49,6
2023,2023-00457-SG,Male,Northern,25 to 49,2
2023,2023-00458-SG,Male,Central,50+,3
2023,2023-00459-SG,Male,Western,50+,4
2023,2023-00460-SG,Male,Western,25 to 49,5
2023,2023-00461-SG,Male,Western,50+,4
2023,2023-00462-SG,Male,Toronto,50+,1
2023,2023-00463-SG,Male,Western,50+,6
2023,2023-00464-SG,Male,Central,50+,10
2023,2023-00465-SG,Male,Toronto,25 to 49,4
2023,2023-00466-SG,Male,Eastern,50+,2
2023,2023-00467-SG,Male,Eastern,25 to 49,3
2023,2023-00468-SG,Female,Central,25 to 49,9
2023,2023-00469-SG,Male,Central,50+,5
2023,2023-00470-SG,Male,Western,25 to 49,6
2023,2023-00471-SG,Male,Western,25 to 49,5
2023,2023-00472-SG,Female,Central,25 to 49,5
2023,2023-00473-SG,Male,Western,25 to 49,13
2023,2023-00474-SG,Male,Toronto,50+,3
2023,2023-00475-SG,Male,Central,25 to 49,1
2023,2023-00476-SG,Male,Western,25 to 49,11
2023,2023-00477-SG,Male,Northern,25 to 49,4
2023,2023-00478-SG,Male,Northern,25 to 49,6
2023,2023-00479-SG,Male,Central,25 to 49,3
2023,2023-00480-SG,Female,Western,25 to 49,8
2023,2023-00481-SG,Male,Northern,50+,8
2023,2023-00482-SG,Male,Central,25 to 49,1
2023,2023-00483-SG,Male,Central,25 to 49,39
2023,2023-00484-SG,Male,Northern,50+,3
2023,2023-00485-SG,Male,Western,50+,3
2023,2023-00486-SG,Male,Toronto,25 to 49,1
2023,2023-00487-SG,Male,Central,25 to 49,6
2023,2023-00488-SG,Male,Western,50+,7
2023,2023-00489-SG,Male,Northern,25 to 49,7
2023,2023-00490-SG,Male,Central,50+,1
2023,2023-00491-SG,Male,Western,50+,2
2023,2023-00492-SG,Male,Toronto,25 to 49,8
2023,2023-00493-SG,Male,Central,25 to 49,34
2023,2023-00494-SG,Male,Western,50+,2
2023,2023-00495-SG,Male,Northern,50+,6
2023,2023-00496-SG,Female,Central,50+,3
2023,2023-00497-SG,Male,Toronto,50+,5
2023,2023-00498-SG,Male,Northern,25 to 49,12
2023,2023-00499-SG,Male,Western,25 to 49,11
2023,2023-00500-SG,Male,Central,25 to 49,3
2023,2023-00501-SG,Female,Central,25 to 49,6
2023,2023-00502-SG,Male,Western,25 to 49,14
2023,2023-00503-SG,Male,Central,25 to 49,31
