"EndFiscalYear","Region_AtTimeOfPlacement","Institution_AtTimeOfPlacement","Alert_Type","Alert_Presence","Number_SegregationPlacements"
2023,"Central","Hamilton Wentworth Detention Centre","Transgender Alert","No",11442
2023,"Central","Hamilton Wentworth Detention Centre","Transgender Alert","Yes",52
2023,"Central","Maplehurst Correctional Complex","Transgender Alert","No",8617
2023,"Central","Maplehurst Correctional Complex","Transgender Alert","Yes",19
2023,"Central","Niagara Detention Centre","Transgender Alert","No",2169
2023,"Central","Niagara Detention Centre","Transgender Alert","Yes",0
2023,"Central","Vanier Centre for Women","Transgender Alert","No",5279
2023,"Central","Vanier Centre for Women","Transgender Alert","Yes",549
2023,"Eastern","Brockville Jail","Transgender Alert","No",27
2023,"Eastern","Brockville Jail","Transgender Alert","Yes",0
2023,"Eastern","Central East Correctional Centre","Transgender Alert","No",4218
2023,"Eastern","Central East Correctional Centre","Transgender Alert","Yes",103
2023,"Eastern","Ottawa-Carleton Detention Centre","Transgender Alert","No",2718
2023,"Eastern","Ottawa-Carleton Detention Centre","Transgender Alert","Yes",28
2023,"Eastern","Quinte Detention Centre","Transgender Alert","No",99
2023,"Eastern","Quinte Detention Centre","Transgender Alert","Yes",1
2023,"Eastern","St. Lawrence Valley Correctional and Treatment Centre","Transgender Alert","No",5
2023,"Eastern","St. Lawrence Valley Correctional and Treatment Centre","Transgender Alert","Yes",0
2023,"Northern","Algoma Treatment and Remand Centre","Transgender Alert","No",558
2023,"Northern","Algoma Treatment and Remand Centre","Transgender Alert","Yes",30
2023,"Northern","Fort Frances Jail","Transgender Alert","No",25
2023,"Northern","Fort Frances Jail","Transgender Alert","Yes",0
2023,"Northern","Kenora Jail","Transgender Alert","No",182
2023,"Northern","Kenora Jail","Transgender Alert","Yes",24
2023,"Northern","Monteith Correctional Complex","Transgender Alert","No",612
2023,"Northern","Monteith Correctional Complex","Transgender Alert","Yes",6
2023,"Northern","North Bay Jail","Transgender Alert","No",728
2023,"Northern","North Bay Jail","Transgender Alert","Yes",9
2023,"Northern","Sudbury Jail","Transgender Alert","No",477
2023,"Northern","Sudbury Jail","Transgender Alert","Yes",0
2023,"Northern","Thunder Bay Correctional Centre","Transgender Alert","No",17
2023,"Northern","Thunder Bay Correctional Centre","Transgender Alert","Yes",0
2023,"Northern","Thunder Bay Jail","Transgender Alert","No",356
2023,"Northern","Thunder Bay Jail","Transgender Alert","Yes",0
2023,"Toronto","Toronto East Detention Centre","Transgender Alert","No",790
2023,"Toronto","Toronto East Detention Centre","Transgender Alert","Yes",3
2023,"Toronto","Toronto South Detention Centre","Transgender Alert","No",4062
2023,"Toronto","Toronto South Detention Centre","Transgender Alert","Yes",93
2023,"Western","Central North Correctional Centre","Transgender Alert","No",3803
2023,"Western","Central North Correctional Centre","Transgender Alert","Yes",168
2023,"Western","Elgin-Middlesex Detention Centre","Transgender Alert","No",5557
2023,"Western","Elgin-Middlesex Detention Centre","Transgender Alert","Yes",51
2023,"Western","Sarnia Jail","Transgender Alert","No",193
2023,"Western","Sarnia Jail","Transgender Alert","Yes",3
2023,"Western","South West Detention Centre","Transgender Alert","No",3440
2023,"Western","South West Detention Centre","Transgender Alert","Yes",10
2023,"Western","Stratford Jail","Transgender Alert","No",4
2023,"Western","Stratford Jail","Transgender Alert","Yes",9
2023,"Central","Hamilton Wentworth Detention Centre","Mental Health Alert","No",5948
2023,"Central","Hamilton Wentworth Detention Centre","Mental Health Alert","Yes",5546
2023,"Central","Maplehurst Correctional Complex","Mental Health Alert","No",5752
2023,"Central","Maplehurst Correctional Complex","Mental Health Alert","Yes",2884
2023,"Central","Niagara Detention Centre","Mental Health Alert","No",581
2023,"Central","Niagara Detention Centre","Mental Health Alert","Yes",1588
2023,"Central","Vanier Centre for Women","Mental Health Alert","No",1909
2023,"Central","Vanier Centre for Women","Mental Health Alert","Yes",3919
2023,"Eastern","Brockville Jail","Mental Health Alert","No",17
2023,"Eastern","Brockville Jail","Mental Health Alert","Yes",10
2023,"Eastern","Central East Correctional Centre","Mental Health Alert","No",1961
2023,"Eastern","Central East Correctional Centre","Mental Health Alert","Yes",2360
2023,"Eastern","Ottawa-Carleton Detention Centre","Mental Health Alert","No",985
2023,"Eastern","Ottawa-Carleton Detention Centre","Mental Health Alert","Yes",1761
2023,"Eastern","Quinte Detention Centre","Mental Health Alert","No",49
2023,"Eastern","Quinte Detention Centre","Mental Health Alert","Yes",51
