EndFiscalYear,Region_AtTimeOfPlacement,Gender,Measure,NumberConsecutiveDays_Segregation
2023,Central,Female,Maximum,36
2023,Eastern,Female,Maximum,13
2023,Northern,Female,Maximum,13
2023,Toronto,Female,Maximum,8
2023,Western,Female,Maximum,13
2023,Central,Female,Median,2
2023,Eastern,Female,Median,2
2023,Northern,Female,Median,1
2023,Toronto,Female,Median,3
2023,Western,Female,Median,2
2023,Central,Female,Mode,1
2023,Eastern,Female,Mode,1
2023,Northern,Female,Mode,1
2023,Toronto,Female,Mode,3
2023,Western,Female,Mode,1
2023,Central,Male,Maximum,21
2023,Eastern,Male,Maximum,12
2023,Northern,Male,Maximum,18
2023,Toronto,Male,Maximum,17
2023,Western,Male,Maximum,15
2023,Central,Male,Median,1
2023,Eastern,Male,Median,1
2023,Northern,Male,Median,1
2023,Toronto,Male,Median,3
2023,Western,Male,Median,1
2023,Central,Male,Mode,1
2023,Eastern,Male,Mode,1
2023,Northern,Male,Mode,1
2023,Toronto,Male,Mode,3
2023,Western,Male,Mode,1
2023,Central,All,Maximum,36
2023,Eastern,All,Maximum,13
2023,Northern,All,Maximum,18
2023,Toronto,All,Maximum,17
2023,Western,All,Maximum,15
2023,Central,All,Median,1
2023,Eastern,All,Median,1
2023,Northern,All,Median,1
2023,Toronto,All,Median,3
2023,Western,All,Median,1
2023,Central,All,Mode,1
2023,Eastern,All,Mode,1
2023,Northern,All,Mode,1
2023,Toronto,All,Mode,3
2023,Western,All,Mode,1
2024,Central,Female,Maximum,54
2024,Eastern,Female,Maximum,12
2024,Northern,Female,Maximum,23
2024,Toronto,Female,Maximum,9
2024,Western,Female,Maximum,15
2024,Central,Female,Median,2
2024,Eastern,Female,Median,2
2024,Northern,Female,Median,2
2024,Toronto,Female,Median,3
2024,Western,Female,Median,2
2024,Central,Female,Mode,1
2024,Eastern,Female,Mode,1
2024,Northern,Female,Mode,1
2024,Toronto,Female,Mode,3
2024,Western,Female,Mode,1
2024,Central,Male,Maximum,54
2024,Eastern,Male,Maximum,12
2024,Northern,Male,Maximum,25
2024,Toronto,Male,Maximum,16
2024,Western,Male,Maximum,16
2024,Central,Male,Median,2
2024,Eastern,Male,Median,1
2024,Northern,Male,Median,2
2024,Toronto,Male,Median,3
2024,Western,Male,Median,2
2024,Central,Male,Mode,1
2024,Eastern,Male,Mode,1
2024,Northern,Male,Mode,1
2024,Toronto,Male,Mode,3
2024,Western,Male,Mode,1
2024,Central,All,Maximum,54
2024,Eastern,All,Maximum,12
2024,Northern,All,Maximum,25
2024,Toronto,All,Maximum,16
2024,Western,All,Maximum,16
2024,Central,All,Median,2
2024,Eastern,All,Median,1
2024,Northern,All,Median,2
2024,Toronto,All,Median,3
2024,Western,All,Median,2
2024,Central,All,Mode,1
2024,Eastern,All,Mode,1
2024,Northern,All,Mode,1
2024,Toronto,All,Mode,3
2024,Western,All,Mode,1
2025,Central,Female,Maximum,140
2025,Eastern,Female,Maximum,14
2025,Northern,Female,Maximum,17
2025,Toronto,Female,Maximum,8
2025,Western,Female,Maximum,14
2025,Central,Female,Median,2
2025,Eastern,Female,Median,2
2025,Northern,Female,Median,2
2025,Toronto,Female,Median,3
2025,Western,Female,Median,2
2025,Central,Female,Mode,1
2025,Eastern,Female,Mode,1
2025,Northern,Female,Mode,1
2025,Toronto,Female,Mode,3
2025,Western,Female,Mode,1
2025,Central,Male,Maximum,90
2025,Eastern,Male,Maximum,13
2025,Northern,Male,Maximum,42
2025,Toronto,Male,Maximum,25
2025,Western,Male,Maximum,30
2025,Central,Male,Median,2
2025,Eastern,Male,Median,1
2025,Northern,Male,Median,2
2025,Toronto,Male,Median,3
2025,Western,Male,Median,2
2025,Central,Male,Mode,1
2025,Eastern,Male,Mode,1
2025,Northern,Male,Mode,1
2025,Toronto,Male,Mode,3
2025,Western,Male,Mode,1
2025,Central,All,Maximum,140
2025,Eastern,All,Maximum,14
2025,Northern,All,Maximum,42
2025,Toronto,All,Maximum,25
2025,Western,All,Maximum,30
2025,Central,All,Median,2
2025,Eastern,All,Median,1
2025,Northern,All,Median,2
2025,Toronto,All,Median,3
2025,Western,All,Median,2
2025,Central,All,Mode,1
2025,Eastern,All,Mode,1
2025,Northern,All,Mode,1
2025,Toronto,All,Mode,3
2025,Western,All,Mode,1
