"EndFiscalYear","Region_MostRecentPlacement","Institution_MostRecentPlacement","Gender","NumberIndividuals_RestrictiveConfinement","NumberIndividuals_Segregation"
2023,"Central","Hamilton Wentworth Detention Centre","Female",1,53
2023,"Central","Hamilton Wentworth Detention Centre","Male",1282,1355
2023,"Central","Maplehurst Correctional Complex","Female",0,0
2023,"Central","Maplehurst Correctional Complex","Male",4274,2720
2023,"Central","Niagara Detention Centre","Female",0,0
2023,"Central","Niagara Detention Centre","Male",1024,193
2023,"Central","Vanier Centre for Women","Female",0,1371
2023,"Central","Vanier Centre for Women","Male",0,10
2023,"Eastern","Brockville Jail","Female",0,0
2023,"Eastern","Brockville Jail","Male",348,22
2023,"Eastern","Central East Correctional Centre","Female",27,62
2023,"Eastern","Central East Correctional Centre","Male",736,542
2023,"Eastern","Ottawa-Carleton Detention Centre","Female",387,107
2023,"Eastern","Ottawa-Carleton Detention Centre","Male",2368,638
2023,"Eastern","Quinte Detention Centre","Female",265,2
2023,"Eastern","Quinte Detention Centre","Male",856,37
2023,"Eastern","St. Lawrence Valley Correctional and Treatment Centre","Female",0,0
2023,"Eastern","St. Lawrence Valley Correctional and Treatment Centre","Male",0,2
2023,"Northern","Algoma Treatment and Remand Centre","Female",92,10
2023,"Northern","Algoma Treatment and Remand Centre","Male",495,197
2023,"Northern","Fort Frances Jail","Female",0,5
2023,"Northern","Fort Frances Jail","Male",0,8
2023,"Northern","Kenora Jail","Female",88,47
2023,"Northern","Kenora Jail","Male",583,29
2023,"Northern","Monteith Correctional Complex","Female",0,46
2023,"Northern","Monteith Correctional Complex","Male",0,146
2023,"Northern","North Bay Jail","Female",8,17
2023,"Northern","North Bay Jail","Male",24,256
2023,"Northern","Sudbury Jail","Female",51,8
2023,"Northern","Sudbury Jail","Male",557,96
2023,"Northern","Thunder Bay Correctional Centre","Female",187,10
2023,"Northern","Thunder Bay Correctional Centre","Male",0,4
2023,"Northern","Thunder Bay Jail","Female",0,0
2023,"Northern","Thunder Bay Jail","Male",903,188
2023,"Toronto","Toronto East Detention Centre","Female",0,0
2023,"Toronto","Toronto East Detention Centre","Male",0,220
2023,"Toronto","Toronto South Detention Centre","Female",14,8
2023,"Toronto","Toronto South Detention Centre","Male",2812,1032
2023,"Western","Central North Correctional Centre","Female",0,75
2023,"Western","Central North Correctional Centre","Male",0,773
2023,"Western","Elgin-Middlesex Detention Centre","Female",140,147
2023,"Western","Elgin-Middlesex Detention Centre","Male",1397,1298
2023,"Western","Sarnia Jail","Female",50,35
2023,"Western","Sarnia Jail","Male",304,73
2023,"Western","South West Detention Centre","Female",200,18
2023,"Western","South West Detention Centre","Male",1193,783
2023,"Western","Stratford Jail","Female",1,0
2023,"Western","Stratford Jail","Male",114,4
2024,"Central","Hamilton Wentworth Detention Centre","Female",1,91
2024,"Central","Hamilton Wentworth Detention Centre","Male",1372,796
2024,"Central","Maplehurst Correctional Complex","Female",2,2
2024,"Central","Maplehurst Correctional Complex","Male",2942,1681
2024,"Central","Niagara Detention Centre","Female",0,0
2024,"Central","Niagara Detention Centre","Male",712,347
2024,"Central","Vanier Centre for Women","Female",1,952
2024,"Central","Vanier Centre for Women","Male",0,7
2024,"Central","Ontario Correctional Institute","Female",0,0
2024,"Central","Ontario Correctional Institute","Male",5,0
2024,"Eastern","Brockville Jail","Female",0,0
2024,"Eastern","Brockville Jail","Male",253,28
2024,"Eastern","Central East Correctional Centre","Female",157,96
2024,"Eastern","Central East Correctional Centre","Male",2408,568
2024,"Eastern","Ottawa-Carleton Detention Centre","Female",290,145
2024,"Eastern","Ottawa-Carleton Detention Centre","Male",2072,590
2024,"Eastern","Quinte Detention Centre","Female",496,0
2024,"Eastern","Quinte Detention Centre","Male",706,1
2024,"Eastern","St. Lawrence Valley Correctional and Treatment Centre","Female",0,0
2024,"Eastern","St. Lawrence Valley Correctional and Treatment Centre","Male",0,1
2024,"Northern","Algoma Treatment and Remand Centre","Female",100,23
2024,"Northern","Algoma Treatment and Remand Centre","Male",531,181
2024,"Northern","Fort Frances Jail","Female",0,0
2024,"Northern","Fort Frances Jail","Male",0,9
2024,"Northern","Kenora Jail","Female",125,54
2024,"Northern","Kenora Jail","Male",329,63
2024,"Northern","Monteith Correctional Complex","Female",0,56
2024,"Northern","Monteith Correctional Complex","Male",24,157
2024,"Northern","North Bay Jail","Female",0,22
2024,"Northern","North Bay Jail","Male",0,91
2024,"Northern","Sudbury Jail","Female",43,28
2024,"Northern","Sudbury Jail","Male",351,236
2024,"Northern","Thunder Bay Correctional Centre","Female",159,51
2024,"Northern","Thunder Bay Correctional Centre","Male",0,20
2024,"Northern","Thunder Bay Jail","Female",3,1
2024,"Northern","Thunder Bay Jail","Male",711,248
2024,"Toronto","Toronto East Detention Centre","Female",0,0
2024,"Toronto","Toronto East Detention Centre","Male",146,300
2024,"Toronto","Toronto South Detention Centre","Female",16,11
2024,"Toronto","Toronto South Detention Centre","Male",2246,1457
2024,"Western","Central North Correctional Centre","Female",24,31
2024,"Western","Central North Correctional Centre","Male",178,678
2024,"Western","Elgin-Middlesex Detention Centre","Female",190,120
